,comment,Label
87,"Their customer service is unreachable. They make it impossible to make changes online, and impossible to get ahold of a customer service rep. I was on hold for over three hours to try to change my flight. The representative told me she could not assist me with reservation because I booked them online but that I must go through her to rebook seats I had already paid for. I was instructed to cancel my flights and rebook them and call customer service back with the new reservation codes to get my seats reassigned without repaying for seat assignments. I did that and called back. Again, I was on hold for hours. I gave the new customer service rep my old and new reservation numbers and she was able to transfer my seat assignments but then I realized I did not get any money back for my canceled flights. Even though they say you can exchange the tickets. You can’t if you cancel. And that’s what they told me to do. After fighting they gave me my money back. When we finally flew it was packed so tight, delayed 45 minutes and lost our bags. I will never fly this airline again. They were impossible to get any help or direction. Their customer service was literally the worst.",negative
88,"The quality of food is poor, we got a cold meal (German sausage salad) on our 2.5 hr flight.  The crew was very nice and attentive, which was a nice surprise. The quality is not worth the price, other airlines do better with attractive prices.",negative
92,"Just to record praise where it’s due. For some reason unknown to myself, despite flying about a hundred flights a year for years, I stupidly forgot my passport for this trip to Seoul. I managed to retrieve with Uber from home but it meant I was still at checkin just 20 mins before departure. The SAS/Lufthansa checkin staff did an amazing job and showed incredible flexibility to somehow get me onboard. Thanks a million for fantastic service which won’t be forgotten!",positive
93,Unfortunately my 75 year old father forgot his ID card in Belgium so was unable to take the flight from Luxembourg yesterday. It's been non-stop stress since then trying to get him to Bulgaria with no help from Lufthansa. Thankfully we will get him here in time for Christmas through a different airline but have been told that Lufthansa considers him a no show for this trip and have now canceled his return ticket. They are willing to sell this same ticket back to us for an additional 327 euros however.,negative
94,"We booked a return flight to Namibia for December back in October when Namibia was considered one of the safest places to travel regarding Covid. Unfortunately this all changed end of November. We flagged this with Lufthansa (after spending 1.5 hours waiting for customer service) but they were unwilling to help us and said it is the ‘risk of this time. Their suggestion was that we ignore restrictions and use the ticket to fly to Namibia. I will never again choose Lufthansa. In the end our only option was rebooking to another destination and paying a hefty premium on an already expensive ticket (+50% extra charge), and travelling to Cancun with Eurowings.",negative
95,"I needed to rebook my flight because of a notification in a change in flight times, so I asked for a refund to get this done. My $580 ticket was refunded $80. I was convinced this was an error, so I spent the next month getting transferred to different customer service departments. Ultimately, here’s the reply I received: “ We would like to inform you that As per our investigation Voluntary Full refund as per Fare rules correctly processed on ticket as there was no Flight cancellation found. We realize that this may not be the response you wished but we hope that this experience will not prevent you from making your future travel plans with Lufthansa.” I will never fly with Lufthansa.",negative
96,"I wanted to thank Emmanuel Ramos and his team for helping my husband and I navigate the airport boarding, ticketing and assist with our 2 oversized pets. His behavior was extremely professional and kind in a hectic environment and he multi-tasked consistently and cheerfully. He went above and beyond to help make our flight comfortable and make sure that we had everything squared away. If he is an example of the kind of people that Lufthansa hires, than it is no wonder that they are a 5 star airline! Such excellent service!",positive
99,"I booked my flight 6 months ago and around 2 month ago I got the first e-Mail with the information that my flight was canceled and rescheduled. I called Lufthansa Customer service and there was a very nice man who helped me to rescheduling my flight. A month later, my flight was rescheduled twice, without letting me know, I only saw it because I checked the Lufthansa app. Then last week I got another e-Mail that my flight was canceled again, though I called the Customer Service again. First I tried 6 times, the computer hung up on my every time, then I tried it very early in the morning on the next time and I had to wait for 35 minutes until someone picked up.  The woman was not very friendly, I told her my story and she gave me a new flight and muted herself for around 5 minutes without letting me know. I was talking and asked if someone is still there etc no answer, then she unmuted herself for 2 second and was muted again. I am really disappointed.",negative
100,"My issue with Air France is that I bought a No fee change ticket and since trying to change my return ticket which is on the 8th May 2022 I have got nothing but the run around. As for a customer service it is non existent. I am in Peru and cannot get my flight from Costa Rica on that date and I did manage to chat with some form of humanoid/robot on their chat line via facebook, for 6 days messaging back and forth with no actual assistance whatsoever. Every time I suggested a flight or date I could exchange my ticket for they told me I could not do it. There is no customer service, no one to speak to or even email, and once they have your money you are hung out to dry. Hence they have taken £612 for a flight that is worth £300 due to the fact that they will not not honour their no fee change policy. I am not asking for a refund but to exchange my ticket for another flight. I have already stated that I am prepared to pay extra if it is a flight that is more expensive.",negative
101,"Tel Aviv to Toronto via Paris. The first leg of our trip was really substandard. The plane itself was fine, but the cabin crew provided almost no service and were unpleasant, verging on aggressive. The food also was very low quality. The second leg of our trip was much better, with a pleasant cabin crew and much better food. The customer service has been terrible. We called to follow up on a number of issues and again encountered unpleasant staff who seemed to have very little desire to help and who were sometimes even rude. I would not recommend flying with Air France and will surely not buy tickets from them again.",negative
102,"1 hour flight from Paris to Newcastle, what can go wrong? I take no pleasure in writing this review, if you look at my previous reports most from memory are positive, a few bad experiences. This is the worst flight in my life, simple. Congratulations to Air France to achieve going from being my preferred airline to the last I would use in one step. The flight was not great, but not terrible, my seat had very little legroom but I’d just come if a Qatar Airways business class flight so maybe that clouded my judgement a little. Anyway they didn’t bother to put my bag on the aircraft. It wasn’t lost, they knew exactly where it was, in their home airport they could find someone to put it in the plane. Did they put it in the next flight, no. Did they put it in the next day?  Air France chose  not to send my bag today. They sent me an email saying they had the bag just after midnight so they had 10 hours to put it in AF1058 this morning. They didn’t do it. They chose to not send it. This is an airline that does not respect its passengers, I have no issue with airlines losing bags, it’s annoying but it happens.",negative
104,"This has to be the worst customer service. They delayed every single piece of luggage in both directions. One of them was lost completely and now I am fighting since 2.5 months to get money from the airline. They changed the treatment from lost to delayed and simply closed the case by sending me 100€ which is below the worth of the lost baggage. Service Hotline is simply going to kick you out after about 32mins, WhatsApp Service is basically a bot and a person with a Copy Paste locked keyboard. They can´t help with any of the matters. Been pushed between resorts and Airlines and sub contractors (AirFrance, KLM, Delta, Pahaero) countless times. Nobody is responsible for anything. The claim tracker is absolutely useless as it is not tracing any of the actions.",negative
105,"Houston to Paris. Please DO NOT FLY with Air France. They have zero responsibility when it comes to compensation for losses resulting from cancellations of their flights! I bought a ticket for December 29th, 2021 for a secheduled for the 31st of December 2021. Needless to state I lost all the money spent on a Tuxedo, shirt and shoes for being the bestman in the wedding as a result of the impromptu cancellation by Air France hours after waiting for boarding. When I got back to the U.S, I filed a claim on Thursday the 27th of Janurary, 2022 for compensation for my losses as a result of the cancellation. It took Air France more than three months to respond and say that because the flight was cancelled as a result of ""technical issues"" they would not be compensating me for my losses. NO phone calls! NO empathy! Zero responsibility! POOR service and POOR customer service!",negative
106,"Madrid to Cork via Paris. I took the ticket with KLM and a few days after travelling, one of the stops I had planned was cancelled. They change my ticket with a stopover in Paris and the first thing: I'm still waiting for the difference between the ticket that I paid more for. They don't add the previous travel insurance to the new ticket. Air France sends an email that the flight is delayed a few days before and then at 1 am when the flight leaves at 6:10 am they send an SMS that is delayed another 40 minutes. Once on the plane, it was delayed another 40 minutes. No one explains why. Inside the plane, already arriving in Paris, it is going to land and a few seconds before this, it takes off again. Why? Nobody tells us anything. It gives me an anxiety attack not knowing what's going on, all the delays we had with this airline and the. Concern that I won't get to catch the other link and I get up to ask. I am dragged by the steward by the arm through the plane to my seat. Disrespecting me and making me and those around me even more nervous because we really believed that something very, very serious was happening since the stewardess' reaction was very abrupt. After arriving in Paris I had to run to catch the next flight to Cork. I arrive in Cork and they have lost my suitcase. I file the claim, they tell me that today I will have my suitcase, that they have sent it to cork because it must have stayed in Paris and still no one has called me, nor have I received my suitcase or anything. A disaster. I will not take this airline again and I will make complaints and claims until I get bored. Because the lack of control they have, the lack of respect, etc... is not even normal. | Cogí el billete con KLM y a unos pocos días de viajar, me cancelan una de las escalas que tenía prevista. Me cambian el billete con escala en París y lo primero : todavía estoy esperando la diferencia del billete que page de más.No me añaden el anterior seguro de viaje al nuevo billete. AIR FRANCE manda un correo electrónico de que el vuelo se retrasa unos días antes y luego a la 1h de la madrugada cuando el vuelo sale a las 6:10h mandan un sms que se retrasa otros 40min. Ya en el avión se vuelve a retrasar otros 40min. Nadie explica el motivo. Dentro del avión ya llegando a París va a aterrizar y unos segundos antes ee esto, vuelve a despegar. Porque? Nadie nos dice nada. Me da un ataque de ansiedad por no saber que pasa, todos los retrasos que tuvimos con esta aerolínea y la. Preocupación de que no voy a llegar a coger el otro enlace y me levanto a preguntar. Soy arrastrada por el azafato cogida de un brazo por todo el avión hacia mi asiento. Faltandome al respeto y poniéndome a mi y a los de mi alrededor más nerviosos todavía porque realmente creíamos que pasaba algo muy muy grave ya que la reacción del azafato fue muy brusca. Después de llegar a París tuve que correr para coger el siguiente vuelo a Cork. Llego a Cork y me han perdido la maleta. Pongo la reclamación, me dicen que hoy tendré mi maleta, que la han enviado a cork porque se debió de quedar en París y todavía ni me llamó nadie, ni recibí mi maleta ni nada. Un desastre. No vuelvo a coger esta aerolínea y pondré quejas y reclamaciones hasta que me aburra. Porque no es ni medio normal el descontrol que tienen, la falta de respeto, etc...",negative
107, Three times they made the same mistake and didn’t confirm our seats on our Delta flights before our international ones. Had to spend part of my time on my vacation on hold and dealing with them to make sure it doesn’t happen on the way back and it still did. And they just said there was nothing they could do.  The stress is not worth booking through this airline. ,negative
109,"Extremely poor customer service. They want everyone to check in at the kiosk. Done. The kiosk asks me to see a customer service rep. I go to stand in line, the rep guiding everyone asks me to go to the baggage drop off line inspite of me showing him the message. I stand in the baggage drop off line for half hour. They cannot print my boarding pass. Then the rep from the baggage drop line tells me to go to the customer service line. So I go to the line, and lo behold the rep is standing there. After hearing my story and smirking he guides me to the customer service line. So now I stand in line again! For another 30 minutes.",negative
110,"My flight from CGD to ORD was delayed by 4+ hours due to a computer glitch on the aircraft. The flight crew then scrambled around to find another AF around the airport. All the luggage, catering etc. had to be transferred, and then we went back to the gate and boarded the replacement aircraft. AF emailed me explaining my EU rights to file a claim.  After four months of processing, they denied the claim saying, I arrived to CDG from a non-EU airport. AF took over four months to process this claim. The reason thy gave was, they were busy. I got no compensation, and we were not offered any refreshments on the day.  I'm not flying AF again.",negative
111,"I traveled to Boston from Tunis on March 5th, when I arrived to Boston they told me that my baggage is delayed and it should arrive in two days, its been 6 days now and no answer. I call daily and check online status of my claim everyday. They have the worst customer service ever. The last customer service person said that my suitcase is on the way and it should arrive on March 10 at 1pm, I called at 5 pm he said its in Logan airport and it will be delivered to me tomorrow. I called again in the morning I spent 1.5 hrs at the end they told me that my luggage is still in Paris.",negative
112,"The A350 plane is great for passengers (comfortable and quiet). However, the service in Mumbai is sub-par at best and the service on board was not good. I was unable to check-in via their website - they weighed my bags at the check-in counter in Mumbai and they weighed by back pack and my carry on. I had 8kg more than their limit and they asked to me to either pay $200 to check it in or remove excess weight. I removed the excess weight but was still 3kgs over. I asked if I could pay for the extra (3KG) and she said we don't negotiate. The Ground Staff Manager was unwilling to even engage in conversation.  On board they served the first meal within 30 minutes but did not serve any alcohol. The Stewardess said they don't serve it because it's too early and not served with breakfast.  7 hrs and 30 minutes later they served lunch, nothing served in between. I asked for a beer and the stewardess said no.",negative
114," Wonderful flights, flying like in the good old days. Good food, open bar, friendly FAs, good IFE with lots of good films/music, even on short European flights you get a snack and an open bar. They even let me check my bag for free both ways. Fantastic.",positive
116,"I went for 2 months to Nice, when I arrived in Nice my baggage came with me. In my return to Lebanon, my baggage didn't make it. 9 days now, I call daily and check online status of my claim daily. No news.",negative
120,"My first flight was cancelled last minute, causing me to be rebooked on a second flight. While frustrating, this sometimes can't be helped, especially with COVID and the winter weather. However, my flights were cancelled a total of three times, costing me $450 in COVID test fees, as well as $300 in hotel costs to stay near the airport due to the last minute cancellations and rebookings. Very poor communication from staff to passengers about what was happening with flights - we were sat for over an hour after the initial departure time waiting to hear what was happening, only to be repeatedly told we would be boarding ""soon"", followed by the surprise news that our flight was cancelled. It's incredibly frustrating to have to relay the messages back to my manager back home, and pray the next flight I book won't be cancelled. I understand that the current global situation has placed pressured on airlines, and I wouldn't be leaving a bad review over one cancelled flight. But to be told the flights will ""definitely"" be going ahead, and to be cancelled again and again, is frustrating and unprofessional for everyone involved. It also seems that very few other flights are having this happen to them, and even when I've flown during other points of the pandemic, I've never faced such poor communication and repeated cancellations. Staff were polite, but misinformation was still given, and everything felt poorly organised and poorly communicated to the staff left to answer questions to the stranded passengers. Airport travel is stressful enough, even when everything goes as planned.",negative
121,"I booked with KLM which was a nightmare. I was supposed to fly Air France SG to Rome and with KLM from Rome to SG but I changed my flight. Since my booking was made with KLM, it was impossible to get a hold of anyone when my VTL flight was cancelled and I was reassigned a non VTL flight. Air France was very professional despite my upset state and rearranged everything for me, and both my flights during this trip was extremely pleasant. The crew was very nice and helpful. I would next time just book directly with Air France. I would like to add that ground staff at CDG did a great job too. Thank you Air France!",positive
122,I booked my trip 2 months in advance. This airline canceled my flight in August 2021 the day before departure with no notification (I had received my confirmations and itinerary emails reliably so if something would have been sent I would have seen it. I also checked Spam and all the Promotions and Social folders in desperation). I only found out when I tried to check in online at 5pm the day before and saw it was canceled. I tried multiple times to reach the airline for help and the line hung up automatically after playing a message about the wait time. I would have gladly waited to speak with anyone. Multiple online searches with this airline showed no other flights available to my destination so I had to book a new reservation with a different carrier at more than double the cost ($1400 vs my original $600!). I did receive a full refund of my original purchase price but the airline would not take responsibility for the fact that their poor communication forced me to spend double+ on this trip than was budgeted and it was not possible to cancel and reschedule this trip.,negative
125," Short flight on a brand new two and a half week old airplane. Air France delivered great service as expected. Check in at Charles de Gaulle was quick and friendly, but the terminal was pretty full once we got to security. Boarding was very fast on this full flight. I ended up falling asleep so didn’t get a snack but when I woke up I was offered two bottle of wine by the crew. Upon landing in Madrid I was able to take a picture of the cockpit. Very nice plane with a brand new smell and friendly crew. ",positive
126," Flew Air France for the first time on Thanksgiving Day for a quick trip to Europe. Check in was a breeze since the flight was only had full, once we boarded they’re was a blanket, pillow and headphones on each seat. Most passengers had their own row, which was great since it was an overnight flight and sleep was needed. Service onboard was fantastic, tasty dinner with champagne and wine, snacks in the back for mid flight and prior to landing a small baggie with a quick breakfast was offered. Inflight entertainment had a very good choice of movies and music to pass the time along.",positive
127,"I purchased my ticket over 2 weeks ago. They cancelled my flight which is understandable, but when I tried to contact their customer service line, I waited for over 45mins on the line without an answer 3 times within 2 days. Finally, on the final attempt, my call was answered at 51mins waiting time. I was relieved, finally, I could speak to a human being and ask for help to my situation. The customer service rep literally said, ""sorry there is nothing we can do, good bye"" and preceded to hang up on me.",negative
130,"My experience was very horrible. First they cancelled my flight on the morning I was going to fly. They put me on an alternate flight and when I arrived on the airport, it was a huge mess. The flight was delayed by almost two hours and for that reason I missed my connecting flight from Paris. I had to wait in Paris airport for six hours which caused me to miss my train from Milan to Rome and I did not get a refund for that booking. The air hostesses on the flights were very rude and unhelpful. When I was returning back from Milan to Paris I had requested assistance which unfortunately did not arrive at all at Paris airport. I was made to wait for a very long time and yet the assistance did not arrive. I had to walk by myself to the other terminal to get the connection and had to walk very fast as my time was wasted waiting for the assistance. When I entered the flight the attendants were very rude and did not help me put the luggage away in spite of requesting it. I was asked to do it by myself as they said that they will not do it at all. Again in London I did not receive any assistance and the flight was delayed by one hour they did not seem to care for any travelers who had connecting flights. No one was informed where are flights connection will be from. I had to run like crazy to catch the flight. I was given the wrong gate number when asked by one of the Air France representative. I barely made it to the flight and then I entered the Virgin Atlantic flight to San Francisco which was operated by Air France. I was told that there are only 10 blankets for the entire flight and I will not be able to avail the facility of the blanket. The headphones were broken and unusable. I will never recommend ever to anyone to use Air France and I will not use it either. I need my money which got wasted on cancellation of train.",negative
132,"Was actually two way trip from LAX to LIN and vice-versa. Change at CDG got delayed over 3 hours. Return they cancel me from the flight for no reason, Upgrade to Business up to CDG and Premium Economy to LAX, from CDG lost my luggage. WIFI not working for 80% of the flight.",negative
133,"I was booked onto a flight with only a 45 minute layover which is already difficult. The flight from Tunis was delayed which meant I had to sprint to my next flight. I had asked the crew on board if they could call ahead to tell the plane I was coming and they said no - I had time to make the connection (by the time the flight arrived I had 25 mins). I had to go through security again - a horrible woman put my bag through extra screening just because I told her I was in a rush and when I got to my gate (miraculously 10mins before the scheduled departure time) they told me the flight had already left. It was the last flight of the day out to Geneva meaning I had to spend the night at an Ibis in Paris, wake up at the crack of dawn to make the first flight out in the morning and still had to take an additional day out of my annual leave to compensate for Air France staff utter uselessness! Not once in this whole process did anyone try and help me, no one even apologized! The worst flight experience I have ever had. PS - whilst this particular leg was awful, every single other leg of this journey, including both flights outbound to Tunis were delayed as well. Definitely will never be flying with Air France again.",negative
134," 
I booked a ticket (Miami to Paris via Madrid and Paris to Miami via Madrid) for my daughter through Air Europa. The Paris to Madrid flight was subcontracted to Air France. My daughter went to Air France, dropped her luggage and presented her travel documents. The agent checked these documents and gave her the boarding pass attached with a green dot to clear her. Well, once in Madrid and right before embarking to Miami, she was refused access to the plane because she did not have a negative PCR. How can an Air France agent let her board a plane for the USA without checking or asking about the PCR test and still clear her to board a plane. I have been trying to reach someone at Air France and file a complaint but because my booking is with Air Europa I cannot do so. I filed a complaint with Air Europa and of course am ignored. I texted many employees from corporate with Air France and each time asked to contact Air Europa. This is disrespectful and unprofessional because Air France should be aware of the wrong doing of their employees and make sure this mistake does not happen again.",negative
137,"They have positively reviewed my claim for ticket refund 3 months ago, but I still have to see my money back! I am inside of EU, so theoretically they have 7 days to make the refund. There is no way to contact them other than by phone (there are no online forms for this case) but the representatives have misinformed me several times without me having any proof of it, so I strongly advise to not use this point of contact.",negative
139," The best flight since Covid on any carrier. Efficient friendly service, delicious food and drinks served in glassware and cutlery. Proving current cuts in service on other carriers is not as claimed, Covid related. Good seat, good entertainment, great experience. A few points of for not checking belts and upright seats for landing but other than that great!",positive
140,"Customer Service was extremely poor at CDG Airport. No agents available to answer questions or assist withe kiosks etc. No separate check in for business class and most checkin done by passengers after they figured out how to print bag tags and load bags on belt. The service in business was unbelievable. We were on board 1.5 hours with a posted ATC delay and waiting for late passengers. No preflight service offered. After departure, only given drinks during lunch service. I had to go to attendants station to request a wine refill, but it never showed for my wife or self. Finally, after ringing on service button, mine showed, but not wife's. For two meals, I was served two pasta dishes. I've had better service in Coach. Bottom line, we will never again fly AF.",negative
141,"My biggest complaint is that they only provided a 10 minute window for boarding. There was a last minute gate change. I’m sure that they announced the gate change because there were announcements in both German and French.  I missed out on the information about the last minute gate change. When I noticed that the next flight was going to Morocco, I knew something was wrong so I looked at the departures and rushed to the correct gate. When I got there, the doors were already closed. They rebooked me into a middle seat in regular economy. My original booking was premium economy. They claimed that there were no seats available in premium economy but I saw that there were. I had to pay for my own hotel room because the next flight available was for the next day. I complained to the airline and they basically said how unfortunate it must be to be me. They won’t do anything.",negative
142," I really appreciated the Air France. They were punctual, the flight attendants were amazing, polite & humble. Respond when needed. The food was good & the announcement was clear. When I was using online check in to get boarding pass, it was really perfect & I could easily use the check in & the boarding pass process with my cellphone, so there was no need of looking or searching for a laptop in the hotel where I stayed. I really recommend Air France for travel.",positive
143, Air France is providing zero service in Business Class on flights between the UK and France. I flew Manchester to Paris and was offered nothing. Not even water. The crew disappeared to the back of the aircraft and closed the curtain for the entire flight. When I asked the Purser working the flight why there was no inflight service he advised AF had taken the decision to scrap all service throughout the aircraft on UK-France flights 'due to COVID'. What a joke.,negative
144,"Great all round experience once in the air. On the ground is a different story! The good experience was really down to a fabulous crew. Very professional and charming. The food & beverages was really good. It seems like out of CDG the on board experience has really picked up since I last flew AF out of CDG just prior to covid. Great selections and quality along with awesome presentation. The 787 is really great for long haul. Good seats, good entertainment, quiet cabin and good amenities. Arrived in DTW approx 45 mins ahead of schedule. The bad part is the ground service. I'm sure the rush to travel now restrictions are being eased does not help, but at both LIS and CDG the boarding process is pandemonium. No-one seems to understand zoned boarding, so you literally have to fight your way through throngs of people to board at your allotted time. The paperwork for Covid related info at CDG was never addressed over the PA, but there was a table (without pens) and some papers that should be filled out, but no-one working the gate said anything until you were scanning your BP with the gate agent, so many people would then retreat back to the table and back through the line of passengers waiting to board. To cap all this, a PAX traveling with her 7 YO son was denied boarding and caused a major commotion for about 20 mins as she had been misinformed about her sons test. OK maybe this isn't on Air France, but from what she screamed to the security agents would suggest she had been given the wrong info by Air France the previous day when she was denied boarding because she didn't have the correct test to travel to USA. After getting the required test she arrived at the gate of my flight only to be denied because her son had not been tested. I know this is 100% on the passenger, but she had been misinformed about this requirement by AF the previous day in regards to her son, so certainly have some sympathy for her. Overall it added enormously to the chaos and CDG is not best equipped to have an entire widebody's load of PAX jostling and not observing any kind of distancing. Apart from the poor ground service the only negative thing while in the air was the terrible wifi. Such slow speeds even emailing was futile and considering I paid to be connected the entire flight, I couldn't really work on anything.",positive
146,"Paris CDG to Warsaw , August 16th 2021 Economy class. As Air France is no longer giving miles to it's Skyteam Partners Travelers (I'm Frequent flyer Gold with Aeroflot) with Economy class tickets, but only with Economy Premium tickets - from now on I'll fly Easy Jet within the Schengen area, and other SkyTeam airlines except Air France outside the Schengen area.",negative
147,Still the worst among major European airlines. CDG still cramped and overcrowded despite Covid. Disorganised boarding process with no respect of zones or announcements. Old and tired medium haul cabin. Flight delayed with no explanation. Easyjet's a way better option for intra European travel.,negative
148,"Our flight was delayed for 2 hours, wish I could cope with thought. But after that it went from bad to worse. They firstly announced that they forgot a part of the luggage in Paris, so we had to wait till the next flight to receive them.  Every day we hoped for some good news, but we ended up spending our 3 week trip without our cloths and presents we got for our family over there. When the flight back also got delayed 35 mins I was disappointed. Luckily the air attendants were kind during the flight, otherwise it would have been a total nightmare. I really hope they will get our luggage back to us and refund all the clothes and stuff we had to buy, otherwise it will be our last time flying with them.",negative
149," This was the worst trip experience I ever had. I first of all kept getting pushed back because my covid result never came on time then, advised me to get a rapid test. My final destination was Douala and they didn't let me get on because, I had a rapid test. They took us to go get the test but, had us wait for an hour just to tell us, it was closed. Since, I had no more boarding pass, I couldn't go upstairs and was with my daughter .. no food and no change in currency. They wanted my daughter and I to sleep there, they didn't even have plugs for our phones. I didn't have food or anything and my daughter was tired and hungry. I became irritated and wanted to call the U.S embassy since I am in the military. The lady then negotiated for me and I got a choice, to take the ticket back to the US. I finally flew back home, lost my voucher, spent money for nothing and they lost two of my luggage. This was the worst travel experience I ever had, including customer service for the most part.",negative
151," Best airline in Russia! Very nice staff, comfortable seats (I don't ask much, I mean this is coming from a girl who drives tanks), good service and power supplies, anything you can possibly ask for, enough room for my single bag, and even more room. Great service, good crew, wonderful meals, and so much more!! Ground service, I was pushed around a lot, but that isn't the staffs' fault. I don't remember turning on my in-flight entertainment system, I was too busy playing World of Tanks Blitz with the incredible WiFi.",positive
152," I was very impressed with the staff. Many thanks to the Aeroflot representative Nina at Larnaca, who was extremely professional, friendly and genuinely caring for her passengers. The cabin crew were outstanding as well, especially the flight attendant Asiya and the purser Irina. They did everything to make people onboard happy.",positive
153,"I missed my flight due to a confusion with the flights in the airport (Moscow SVO) - when two flights of Aeroflot were scheduled to the same destination with a difference of approx. 20 minutes, but one of them was not shown on the departure board (for some unknown reason). As a result I missed my flight arriving 5 minutes late to my gate. Other passengers were at the gate before me and still were not allowed to the flight. When I approached the customer desk in Moscow with my issue of a missed flight I still had three more connecting flights left in my round trip ticket. They informed me that the whole ticket was cancelled. It took them months to respond after and no support was provided with regard to my cancelled flights. How about the so called bonus miles program? Apparently it's not even possible to spend them in any way if you haven't reached 3000 miles. So, some of my flights with Aeroflot were not even counted in the miles account even though I travel quite often. Is there a bug not counting the miles even when you enter the frequent flyer number?",negative
156,"Aeroflot has a good planes and good pilots, but the service was pretty bad, the lines in Moscow airport are long and disorganised, in Miami they pushed me to paid an additional PCR for couple hours of my previous test. Flight attendants let people occupy 3 chairs and sleep but you can't sit in the economy seat In front of the toilet because they call it economy comfort. They keep the plane extremely hot, normal in Russia but extremely annoying for non russian. I will avoid it if I can.",negative
159,"My flight in 2020 was cancelled by Aeroflot Russia one week before the travel date. I have been waiting for over 15 months for a refund that was initially agreed by the airline, however they have not provided me with a refund despite weekly emails and contacts made to them.",negative
160,"I had booked tickets for my family to visit me in Denmark in May 2020, the tickets got cancelled and no refund. I contacted customer care and they are suggesting e-voucher. I am ready to take the e-voucher but there is no flight from India to Denmark for this month, next month and in May 2021. So logically I cannot use the e-voucher. Aeroflot don't have flight for using e-voucher so please refund my money.",negative
161," When countries announces border closure, Aeroflot did not notify me of the cancellation of the flight before the borders were closed. I learned about the flight cancellation from the media. When I phoned Aeroflot to change the date of my flight, =I had to stay in the telephone queue for around an hour, and when the operator picked up the phone, she ask me to stay on the line a minute, however went away for at least half an hour and never returned. As tickets for alternative flights were being bought by other people and prices were rising very quickly, the only realistic option was to buy a new ticket from Aeroflot for a date before the closure of borders, and then claim a refund. The price of this new ticket was several times more expensive than the original ticket. Aeroflot have refused to provide a refund for the new ticket. Aeroflot cancelled the flight due to border closure, failed to inform me about it before the border closures, failed to change the date of the flight, and refused to provide a compensation for the new ticket.",negative
162,"I purchased a ticket in November 2020 that had no COVID restrictions for transiting in Moscow, there is no policy for COVID testing when you transit Moscow. We were denied boarding for no COVID test, tho our destination, Turkey does not require any. We were denied boarding after being checked in, luggage tagged, boarding passes issued. Manager did not agree to ticket refund, tho it is a refundable ticket.",negative
163,I bought my tickets for travel in April 2020 for my friend and I and unfortunately because of the Covid-19 my flight was cancelled. I’ve subscribe for a refund and 5 months later I still didn’t get news of it. I’ve send messages and answers was useless. So I’ve called the center the lady on the phone didn’t seem to understand what’s going on and she told me that I can’t do a refund anymore I need to do voucher. So I’ve decided to do my voucher and the website didn’t work. So I’ve sand email to the center again nd this afternoon I’ve tried the voucher with my friend name and she got her voucher back but you can only use 15% on it so how many flight I need to do to have my £800 back?. And with my name I can’t have my voucher I don’t know why for my ticket that put error.  I’ve been fighting during almost 10 months to have my refund. It shouldn’t take that time and that energy to have the money you said you’d pay me back.,negative
164,"My flight was cancelled by Aeroflot back in April. We called multiple times throughout April, May and June and I was promised a refund of the full amount. It was obviously not up to me whether to take that flight or not and it is reasonable to expect a full refund. However refund was never provided. I tried to send multiple messages to the airline’s customer service as well with no response. Last week I tried to call Aeroflot customer service. I had to pay for the international call as there are no representatives in Australia where I live. The customer service was extremely poor. To be honest, I have not encountered such poor attitude in years and it was extremely frustrating. The customer service representative could not properly address any of the issues. She said that the only two options are a voucher and reissuing new ticket. Well, I don’t live in Russia or even Europe so there is absolutely no way I can use these options. The reason why I bought a ticket with Aeroflot was that the transfer time was convenient on my way from Rome to Tokyo, I was not even intending to visit Russia. I explained it and no, nothing she was willing to do, just continued quoting new Russian legislation that came into effect half a year after I bought the ticket! I asked to explain how come I was promised a refund previously and was held waiting for months and months and now it’s not an option. She couldn’t explain. She said I can submit complain through the feedback section. I explained that I have tried to communicate the issue through the feedback section already and not getting any response. She said she can’t help with. Then I asked her to connect me to her supervisor and no, she couldn’t do it for some reason. This is the first time ever I couldn’t speak to a customer service manager or a supervisor. Basically the company just decided to keep my money that I paid, go ahead with it and customer service did not care at all. I just lost a lot of money on the international call without any resolution. This situation is absolutely ridiculous and unacceptable. Every other airline I booked with that cancelled flights provided me a refund a while ago, despite COVID-19. Understand there are struggles at the moment and I did accept a voucher from an Australian airline because I can use it living in Australia. But I just can't use an Aeroflot voucher. The ticket wasn’t a cheap ticket either and it was refundable and it is outrageous that I can’t get money back for a ticket that was refundable (and I paid a premium for it to be refundable and have an option to receive a refund). I sent another message to the airline following the call and received the same response about vouchers that is pretty much just their copy paste from the customer service templates. The airline does not care about their customers and reputation and is just exploiting COVID-19 situation to hold customers’ cash for as long as possible (if not indefinite).",negative
165,"London to Moscow on brand new A350-900. I must say I’ve experienced one of the best business class hard products in the world. Amazing suits with doors, featuring a huge and easy to navigate IFE screen with lots of movies and music, super comfortable lie-flat seat, lots of storage space, and great touches, such as a personal wardrobe, and a locker with a mirror. Staff were amazing, food was good (although I think Aeroflot still has a room for improvement here, especially if it wants to become a 5 star airline), and ground service was quick and efficient. All in all, Aeroflot’s A350 is definitely above and beyond any competition from other European carriers.",positive
166," Aeroflot is not refunding cancelled tickets due to Corona. I booked many flights in the past months, all were refunded in a couple of months. Aeroflot refuses to do that, I am so disappointed.",negative
